meaning_index,sink_index,productive_frac,beautiful_one_frac,aggressor_frac,withdrawn_frac,collapsed_frac,birth_intention,social_trust,post_labor_current,band_occupancy,sink_collapsed,scenario,post_labor,speed,run_id
0.515132480520482,0.265,0.415,0.32,0.0,0.205,0.06,0.41551410694055646,0.5139442762267109,0.4999999999999992,0.72,0,baseline,0.5,gradual,97
0.5067560001241617,0.265,0.405,0.33,0.01,0.185,0.07,0.39478959769085603,0.4822776007211945,0.4999999999999992,0.745,0,baseline,0.5,gradual,98
0.5233004523801722,0.235,0.44,0.325,0.005,0.19,0.04,0.4194427574487525,0.5269476065780335,0.4999999999999992,0.73,0,baseline,0.5,gradual,99
0.5173853264790472,0.235,0.42,0.345,0.005,0.21,0.02,0.41826106745225516,0.5163477138605866,0.4999999999999992,0.78,0,ubi_only,0.5,gradual,0
0.5213292830304449,0.23,0.425,0.345,0.0,0.16,0.07,0.417690545582638,0.5046138633192406,0.4999999999999992,0.7,0,ubi_only,0.5,gradual,1
0.5246277506695793,0.215,0.43,0.355,0.005,0.165,0.045,0.42030698817702417,0.5253300829730322,0.4999999999999992,0.745,0,ubi_only,0.5,gradual,2
0.5226028985540958,0.21,0.455,0.335,0.0,0.18,0.03,0.41798800887973814,0.5129825322228773,0.4999999999999992,0.765,0,ubi_only,0.5,gradual,3
0.5215260887816267,0.22,0.415,0.365,0.0,0.18,0.04,0.4219725848832465,0.5164950458537036,0.4999999999999992,0.765,0,ubi_only,0.5,gradual,4
0.5384464738831863,0.2,0.48,0.32,0.0,0.15,0.05,0.44224428647132524,0.5394990817533087,0.4999999999999992,0.66,0,ubi_only,0.5,gradual,5
0.5191584454405199,0.255,0.365,0.38,0.0,0.225,0.03,0.417027616463271,0.4934450997558942,0.4999999999999992,0.735,0,ubi_only,0.5,gradual,6
0.5294000601340371,0.225,0.4,0.375,0.0,0.2,0.025,0.42357941585589176,0.5132503029689396,0.4999999999999992,0.745,0,ubi_only,0.5,gradual,7
0.5189374455642551,0.19,0.39,0.42,0.0,0.155,0.035,0.41390574144347086,0.498289725465029,0.4999999999999992,0.77,0,ubi_only,0.5,gradual,8
0.5369959835027165,0.18,0.495,0.325,0.0,0.135,0.045,0.4353931072230147,0.5188312260717793,0.4999999999999992,0.71,0,ubi_only,0.5,gradual,9
0.5169930765680992,0.225,0.4,0.375,0.0,0.18,0.045,0.4167857417264325,0.49401586238532585,0.4999999999999992,0.76,0,ubi_only,0.5,gradual,10
0.5243896900130993,0.24,0.41,0.35,0.0,0.18,0.06,0.42671958262756987,0.5113544499175282,0.4999999999999992,0.675,0,ubi_only,0.5,gradual,11
0.5136520376655885,0.265,0.37,0.365,0.0,0.2,0.065,0.4037112382984888,0.47474319966349315,0.4999999999999992,0.75,0,ubi_only,0.5,gradual,12
0.542921796202821,0.19,0.455,0.355,0.0,0.16,0.03,0.44538950535978455,0.5385195305842887,0.4999999999999992,0.72,0,ubi_only,0.5,gradual,13
0.521997052850923,0.23,0.385,0.385,0.005,0.195,0.03,0.4230779250489991,0.5006791142839222,0.4999999999999992,0.71,0,ubi_only,0.5,gradual,14
0.5271805735944742,0.25,0.465,0.285,0.0,0.21,0.04,0.41865747012853033,0.515382067672484,0.4999999999999992,0.685,0,ubi_only,0.5,gradual,15
0.5263129409922948,0.21,0.43,0.36,0.01,0.155,0.045,0.4191745394283437,0.5074934189581656,0.4999999999999992,0.705,0,ubi_only,0.5,gradual,16
0.5163175592793806,0.235,0.425,0.34,0.0,0.18,0.055,0.40805380204520986,0.48518183242950275,0.4999999999999992,0.73,0,ubi_only,0.5,gradual,17
0.5262079072245897,0.255,0.41,0.335,0.005,0.215,0.035,0.4255443193351978,0.5207538691770759,0.4999999999999992,0.69,0,ubi_only,0.5,gradual,18
0.5282322635558989,0.16,0.44,0.4,0.0,0.145,0.015,0.42217557262399924,0.5262068581102133,0.4999999999999992,0.8,0,ubi_only,0.5,gradual,19
