horizon,scenario,post_labor,run_id,sink_index,meaning_index
160,full_bundle,0.5,19,0.065,0.6259749457354851
240,full_bundle,0.5,19,0.015,0.6445494243121019
80,full_bundle,0.5,20,0.065,0.6255972323611847
120,full_bundle,0.5,20,0.03,0.6237873426000093
160,full_bundle,0.5,20,0.06,0.6277630550320309
240,full_bundle,0.5,20,0.025,0.628663570644509
80,full_bundle,0.5,21,0.05,0.628685173944203
120,full_bundle,0.5,21,0.03,0.6335200199489893
160,full_bundle,0.5,21,0.045,0.6238574532536195
240,full_bundle,0.5,21,0.05,0.618550667910989
80,full_bundle,0.5,22,0.04,0.6294120341586412
120,full_bundle,0.5,22,0.045,0.6287788604332367
160,full_bundle,0.5,22,0.03,0.6288075518972194
240,full_bundle,0.5,22,0.04,0.633865228036714
80,full_bundle,0.5,23,0.04,0.6383364523625599
120,full_bundle,0.5,23,0.045,0.6303001254707941
160,full_bundle,0.5,23,0.065,0.620549827552531
240,full_bundle,0.5,23,0.04,0.6266868253200224
80,full_bundle,0.5,24,0.03,0.6336760960115643
120,full_bundle,0.5,24,0.04,0.6299398782572262
160,full_bundle,0.5,24,0.04,0.6303941250181426
240,full_bundle,0.5,24,0.055,0.6337379863930892
80,full_bundle,0.5,25,0.045,0.6285485721801153
120,full_bundle,0.5,25,0.03,0.6408382619123817
160,full_bundle,0.5,25,0.03,0.6330385652181181
240,full_bundle,0.5,25,0.04,0.6177618106281129
80,full_bundle,0.5,26,0.025,0.627264500873734
120,full_bundle,0.5,26,0.035,0.6289794441191559
160,full_bundle,0.5,26,0.055,0.6392104757947069
240,full_bundle,0.5,26,0.055,0.6335357165425456
80,full_bundle,0.5,27,0.05,0.637675134286412
120,full_bundle,0.5,27,0.045,0.6254518560898856
160,full_bundle,0.5,27,0.025,0.626126291368838
240,full_bundle,0.5,27,0.04,0.6292679509965227
80,full_bundle,0.5,28,0.015,0.6358572336943853
120,full_bundle,0.5,28,0.03,0.6241333333766017
160,full_bundle,0.5,28,0.04,0.6410473033635108
240,full_bundle,0.5,28,0.035,0.6214245538720694
80,full_bundle,0.5,29,0.025,0.6342851722778443
120,full_bundle,0.5,29,0.035,0.6439369446776562
160,full_bundle,0.5,29,0.05,0.6316517870019903
240,full_bundle,0.5,29,0.02,0.6309842210616473
80,full_bundle,0.5,30,0.045,0.6210795000789756
120,full_bundle,0.5,30,0.06,0.6301229297790628
160,full_bundle,0.5,30,0.05,0.6219471613218883
240,full_bundle,0.5,30,0.04,0.6268276425570176
80,full_bundle,0.5,31,0.04,0.6131740299277355
120,full_bundle,0.5,31,0.035,0.6303218752175109
160,full_bundle,0.5,31,0.05,0.617439819685452
240,full_bundle,0.5,31,0.03,0.6248005887174543
80,full_bundle,0.5,32,0.025,0.639893038450283
